lat,long,time,pm
22.48,88.34,12/1/2023 0:00,109.7383777
22.48,88.39,12/1/2023 0:00,113.9061363
22.5,88.35,12/1/2023 0:00,113.697451
22.51,88.36,12/1/2023 0:00,112.4727424
22.51,88.37,12/1/2023 0:00,111.0953452
22.54,88.34,12/1/2023 0:00,97.87476816
22.54,88.35,12/1/2023 0:00,98.14933688
22.56,88.35,12/1/2023 0:00,99.02426157
22.56,88.36,12/1/2023 0:00,96.00966694
22.56,88.39,12/1/2023 0:00,114.3565639
22.57,88.42,12/1/2023 0:00,113.3837792
22.58,88.43,12/1/2023 0:00,109.6785169
22.59,88.36,12/1/2023 0:00,91.53467642
22.6,88.37,12/1/2023 0:00,90.84400872
22.6,88.41,12/1/2023 0:00,114.0046253
22.61,88.36,12/1/2023 0:00,92.4376395
22.48,88.34,12/1/2023 1:00,109.1383722
22.48,88.39,12/1/2023 1:00,118.0196326
22.5,88.35,12/1/2023 1:00,112.6200167
22.51,88.36,12/1/2023 1:00,110.7791797
22.51,88.37,12/1/2023 1:00,110.3581276
22.54,88.34,12/1/2023 1:00,92.20885791
22.54,88.35,12/1/2023 1:00,92.53249045
22.56,88.35,12/1/2023 1:00,95.5136302
22.56,88.36,12/1/2023 1:00,95.60420957
22.56,88.39,12/1/2023 1:00,114.9745449
22.57,88.42,12/1/2023 1:00,112.8648004
22.58,88.43,12/1/2023 1:00,112.3883152
22.59,88.36,12/1/2023 1:00,88.84241038
22.6,88.37,12/1/2023 1:00,89.54911817
22.6,88.41,12/1/2023 1:00,115.3444106
22.61,88.36,12/1/2023 1:00,88.3376191
22.48,88.34,12/1/2023 2:00,114.8432098
22.48,88.39,12/1/2023 2:00,119.7832156
22.5,88.35,12/1/2023 2:00,111.0737871
22.51,88.36,12/1/2023 2:00,109.4386408
22.51,88.37,12/1/2023 2:00,109.364701
22.54,88.34,12/1/2023 2:00,91.06321597
22.54,88.35,12/1/2023 2:00,91.46610545
22.56,88.35,12/1/2023 2:00,92.47865537
22.56,88.36,12/1/2023 2:00,92.79568316
22.56,88.39,12/1/2023 2:00,112.5951737
22.57,88.42,12/1/2023 2:00,110.8732222
22.58,88.43,12/1/2023 2:00,110.4863728
22.59,88.36,12/1/2023 2:00,86.31063957
22.6,88.37,12/1/2023 2:00,86.5399186
22.6,88.41,12/1/2023 2:00,112.9876843
22.61,88.36,12/1/2023 2:00,84.76418554
22.48,88.34,12/1/2023 3:00,108.6618257
22.48,88.39,12/1/2023 3:00,113.2969573
22.5,88.35,12/1/2023 3:00,110.092225
22.51,88.36,12/1/2023 3:00,108.3966924
22.51,88.37,12/1/2023 3:00,107.3960888
22.54,88.34,12/1/2023 3:00,89.45903408
22.54,88.35,12/1/2023 3:00,89.74020754
22.56,88.35,12/1/2023 3:00,90.31492475
22.56,88.36,12/1/2023 3:00,90.14508843
22.56,88.39,12/1/2023 3:00,106.6428095
22.57,88.42,12/1/2023 3:00,103.8848564
22.58,88.43,12/1/2023 3:00,105.1086214
